dataset,gene,mean_expr,sd_expr,max_expr,missingness,included,is_teff5,mean_bin,sd_bin,bin_id
IMmotion150,AC022441.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022441.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022447.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022447.2,0.00633705078309013,0.0843089771914059,1.12165798860695,0,TRUE,FALSE,1,3,103
IMmotion150,AC022447.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022447.4,0.0573576922734012,0.259307632714168,1.60051743494534,0,TRUE,FALSE,3,6,306
IMmotion150,AC022447.5,0.021832705522735,0.146499366745263,1.16732434686276,0,TRUE,FALSE,2,4,204
IMmotion150,AC022447.6,0.0116397231497553,0.10930468979324,1.07737707930235,0,TRUE,FALSE,2,4,204
IMmotion150,AC022447.7,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022463.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022467.1,0.0675031586951423,0.259447434829755,1.58314413154581,0,TRUE,FALSE,3,6,306
IMmotion150,AC022467.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022469.1,0.0252827521797783,0.149855251935554,1.08417183499458,0,TRUE,FALSE,2,5,205
IMmotion150,AC022469.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022483.1,0.67268643651862,0.708842233615665,2.25612909209501,0,TRUE,FALSE,5,9,509
IMmotion150,AC022486.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022493.1,0,0,0,0,FALSE,FALSE,,,
